strategy,result
Biakabutuka,000
Biakabutuka,001
Biakabutuka,002
Biakabutuka,003
Biakabutuka,004
Biakabutuka,005
Biakabutuka,015
Biakabutuka,016
Biakabutuka,017
Biakabutuka,018
Biakabutuka,019
Biakabutuka,020
Biakabutuka,029
Biakabutuka,030
Biakabutuka,031
Biakabutuka,032
Biakabutuka,034
Biakabutuka,035
Biakabutuka,037
Biakabutuka,038
Biakabutuka,042
Biakabutuka,044
Biakabutuka,048
Biakabutuka,050
Biakabutuka,051
Biakabutuka,054
Biakabutuka,058
Biakabutuka,059
Biakabutuka,062
Biakabutuka,063
Biakabutuka,068
Biakabutuka,069
Biakabutuka,072
Biakabutuka,073
Biakabutuka,076
Biakabutuka,077
Biakabutuka,082
Biakabutuka,083
Biakabutuka,084
Biakabutuka,085
Biakabutuka,086
Biakabutuka,103
Biakabutuka,104
Biakabutuka,106
Biakabutuka,107
Biakabutuka,113
Biakabutuka,114
Biakabutuka,117
Biakabutuka,118
Biakabutuka,121
Biakabutuka,122
Biakabutuka,123
Biakabutuka,124
Biakabutuka,129
Biakabutuka,130
Biakabutuka,131
Biakabutuka,132
Biakabutuka,137
Biakabutuka,138
Biakabutuka,139
Biakabutuka,140
Biakabutuka,145
Biakabutuka,146
Biakabutuka,147
Biakabutuka,148
Biakabutuka,153
Biakabutuka,154
Biakabutuka,155
Biakabutuka,156
Biakabutuka,161
Biakabutuka,162
Biakabutuka,163
Biakabutuka,164
Biakabutuka,169
Biakabutuka,170
Biakabutuka,171
Biakabutuka,172
Biakabutuka,177
Biakabutuka,178
Biakabutuka,179
Biakabutuka,180
Biakabutuka,199
Biakabutuka,200
Biakabutuka,213
Biakabutuka,214
Biakabutuka,221
Biakabutuka,223
Biakabutuka,225
Biakabutuka,227
Biakabutuka,229
Biakabutuka,231
Biakabutuka,240
Biakabutuka,241
Biakabutuka,242
Biakabutuka,243
Biakabutuka,244
Biakabutuka,245
Biakabutuka,250
Biakabutuka,251
Biakabutuka,252
Biakabutuka,253
Biakabutuka,254
Biakabutuka,255
Biakabutuka,256
Biakabutuka,259
Biakabutuka,287
Biakabutuka,288
Biakabutuka,290
Biakabutuka,291
Biakabutuka,299
Biakabutuka,300
Biakabutuka,302
Biakabutuka,303
Biakabutuka,306
Brady,017
Brady,018
Brady,019
Brady,020
Brady,029
Brady,030
Brady,031
Brady,032
Brady,034
Brady,035
Brady,037
Brady,038
Brady,068
Brady,069
Brady,072
Brady,073
Brady,076
Brady,077
Brady,082
Brady,083
Brady,084
Brady,085
Brady,086
Brady,103
Brady,250
Brady,251
Brady,252
Brady,253
Brady,254
Brady,255
Brady,256
Brady,259
Brady,287
Brady,288
Brady,290
Brady,291
Brady,299
Brady,300
Brady,302
Brady,303
Funchess,017
Funchess,018
Funchess,019
Funchess,020
Funchess,029
Funchess,030
Funchess,031
Funchess,032
Funchess,034
Funchess,035
Funchess,037
Funchess,038
Funchess,068
Funchess,069
Funchess,072
Funchess,073
Funchess,076
Funchess,077
Funchess,082
Funchess,083
Funchess,084
Funchess,085
Funchess,086
Funchess,103
Funchess,250
Funchess,251
Funchess,252
Funchess,253
Funchess,254
Funchess,255
Funchess,256
Funchess,259
Funchess,287
Funchess,288
Funchess,290
Funchess,291
Funchess,299
Funchess,300
Funchess,302
Funchess,303
Henne,007
Henne,008
Henne,014
Henne,046
Henne,047
Henne,078
Henne,079
Henne,080
Henne,081
Henne,087
Henne,088
Henne,089
Henne,090
Henne,091
Henne,092
Henne,093
Henne,094
Henne,095
Henne,096
Henne,097
Henne,098
Henne,099
Henne,100
Henne,101
Henne,102
Henne,112
Henne,185
Henne,186
Henne,187
Henne,188
Henne,189
Henne,190
Henne,191
Henne,192
Henne,193
Henne,194
Henne,195
Henne,196
Henne,280
Henne,281
Henne,282
Henne,283
Henne,284
Henne,285
Henne,292
Henne,293
Henne,294
Henne,295
Henne,296
Henne,297
Hurst,017
Hurst,018
Hurst,019
Hurst,020
Hurst,029
Hurst,030
Hurst,031
Hurst,032
Hurst,034
Hurst,035
Hurst,037
Hurst,038
Hurst,068
Hurst,069
Hurst,072
Hurst,073
Hurst,076
Hurst,077
Hurst,082
Hurst,083
Hurst,084
Hurst,085
Hurst,086
Hurst,103
Hurst,250
Hurst,251
Hurst,252
Hurst,253
Hurst,254
Hurst,255
Hurst,256
Hurst,259
Hurst,287
Hurst,288
Hurst,290
Hurst,291
Hurst,299
Hurst,300
Hurst,302
Hurst,303
Nordin,021
Nordin,022
Nordin,023
Nordin,024
Nordin,025
Nordin,026
Nordin,027
Nordin,039
Nordin,043
Nordin,045
Nordin,049
Nordin,052
Nordin,053
Nordin,055
Nordin,057
Nordin,060
Nordin,061
Nordin,064
Nordin,065
Nordin,105
Nordin,108
Nordin,109
Nordin,115
Nordin,116
Nordin,119
Nordin,120
Nordin,125
Nordin,126
Nordin,127
Nordin,128
Nordin,133
Nordin,134
Nordin,135
Nordin,136
Nordin,141
Nordin,142
Nordin,143
Nordin,144
Nordin,149
Nordin,150
Nordin,151
Nordin,152
Nordin,157
Nordin,158
Nordin,159
Nordin,160
Nordin,165
Nordin,166
Nordin,167
Nordin,168
Nordin,173
Nordin,174
Nordin,175
Nordin,176
Nordin,181
Nordin,182
Nordin,183
Nordin,184
Nordin,205
Nordin,208
Nordin,209
Nordin,210
Nordin,211
Nordin,212
Nordin,222
Nordin,224
Nordin,226
Nordin,228
Nordin,230
Nordin,232
Nordin,233
Nordin,234
Nordin,235
Nordin,236
Nordin,237
Nordin,238
Nordin,239
Nordin,246
Nordin,247
Nordin,248
Nordin,249
Nordin,260
Nordin,261
Nordin,262
Nordin,263
Nordin,264
Nordin,265
Nordin,266
Nordin,267
Nordin,270
Nordin,271
Nordin,272
Nordin,273
Nordin,274
Nordin,275
Nordin,276
Nordin,277
Nordin,278
Nordin,279
Nordin,289
Nordin,301
Nordin,304
Nordin,305
Nordin,306
Peppers,017
Peppers,018
Peppers,019
Peppers,020
Peppers,029
Peppers,030
Peppers,031
Peppers,032
Peppers,034
Peppers,035
Peppers,037
Peppers,038
Peppers,068
Peppers,069
Peppers,072
Peppers,073
Peppers,076
Peppers,077
Peppers,082
Peppers,083
Peppers,084
Peppers,085
Peppers,086
Peppers,103
Peppers,250
Peppers,251
Peppers,252
Peppers,253
Peppers,254
Peppers,255
Peppers,256
Peppers,259
Peppers,287
Peppers,288
Peppers,291
Peppers,299
Peppers,300
Speight,017
Speight,018
Speight,019
Speight,020
Speight,029
Speight,030
Speight,031
Speight,032
Speight,034
Speight,035
Speight,037
Speight,038
Speight,068
Speight,069
Speight,072
Speight,073
Speight,076
Speight,077
Speight,082
Speight,083
Speight,084
Speight,085
Speight,086
Speight,103
Speight,250
Speight,251
Speight,252
Speight,253
Speight,254
Speight,255
Speight,256
Speight,259
Speight,287
Speight,288
Speight,290
Speight,291
Speight,299
Speight,300
Speight,302
Speight,303
Woodson,017
Woodson,018
Woodson,019
Woodson,020
Woodson,029
Woodson,030
Woodson,031
Woodson,032
Woodson,034
Woodson,035
Woodson,037
Woodson,038
Woodson,068
Woodson,069
Woodson,072
Woodson,073
Woodson,076
Woodson,077
Woodson,082
Woodson,083
Woodson,084
Woodson,085
Woodson,086
Woodson,103
Woodson,250
Woodson,251
Woodson,252
Woodson,253
Woodson,254
Woodson,255
Woodson,256
Woodson,259
Woodson,287
Woodson,288
Woodson,290
Woodson,291
Woodson,299
Woodson,300
Woodson,302
Woodson,303
